iter	Passed	Remaining
773	22703	6629
774	22727	6598
775	22755	6568
776	22778	6537
777	22808	6508
778	22829	6476
779	22874	6451
780	22896	6420
781	22924	6390
782	22953	6361
783	22974	6329
784	23003	6300
785	23038	6272
786	23061	6241
787	23087	6211
788	23116	6181
789	23149	6153
790	23173	6122
791	23208	6095
792	23239	6066
793	23274	6038
794	23305	6009
795	23334	5980
796	23361	5950
797	23388	5920
798	23416	5890
799	23438	5859
800	23467	5830
801	23491	5799
802	23514	5768
803	23542	5739
804	23568	5709
805	23600	5680
806	23626	5650
807	23648	5619
808	23677	5590
809	23698	5558
810	23727	5529
811	23757	5500
812	23781	5469
813	23808	5440
814	23830	5409
815	23858	5379
816	23878	5348
817	23902	5318
818	23939	5290
819	23960	5259
820	23990	5230
821	24020	5201
822	24041	5170
823	24073	5141
824	24095	5111
825	24128	5082
826	24159	5054
827	24193	5025
828	24218	4995
829	24241	4965
830	24272	4936
831	24308	4908
832	24339	4879
833	24366	4849
834	24389	4819
835	24419	4790
836	24441	4759
837	24488	4733
838	24521	4705
839	24550	4676
840	24572	4645
841	24603	4616
842	24630	4587
843	24659	4557
844	24690	4529
845	24721	4500
846	24746	4470
847	24767	4439
848	24793	4409
849	24815	4379
850	24845	4350
851	24868	4319
852	24891	4289
853	24913	4259
854	24935	4228
855	24965	4199
856	24989	4169
857	25017	4140
858	25048	4111
859	25076	4082
860	25099	4052
861	25128	4022
862	25150	3992
863	25173	3962
864	25211	3934
865	25242	3905
866	25271	3876
867	25293	3846
868	25325	3817
869	25352	3788
870	25380	3758
871	25408	3729
872	25429	3699
873	25455	3669
874	25487	3641
875	25518	3612
876	25540	3582
877	25577	3554
878	25606	3524
879	25627	3494
880	25660	3466
881	25685	3436
882	25707	3406
883	25739	3377
884	25772	3348
885	25801	3319
886	25823	3289
887	25853	3260
888	25874	3230
889	25900	3201
890	25932	3172
891	25955	3142
892	25976	3112
893	26003	3083
894	26032	3054
895	26055	3024
896	26080	2994
897	26106	2965
898	26138	2936
899	26162	2906
900	26183	2877
901	26213	2847
902	26234	2818
903	26254	2788
904	26286	2759
905	26314	2730
906	26345	2701
907	26367	2671
908	26395	2642
909	26416	2612
910	26441	2583
911	26478	2554
912	26500	2525
913	26531	2496
914	26562	2467
915	26591	2438
916	26614	2408
917	26637	2379
918	26673	2350
919	26695	2321
920	26726	2292
921	26747	2262
922	26776	2233
923	26806	2204
924	26835	2175
925	26864	2146
926	26891	2117
927	26912	2088
928	26941	2059
929	26963	2029
930	26992	2000
931	27025	1971
932	27052	1942
933	27084	1913
934	27108	1884
935	27136	1855
936	27158	1826
937	27178	1796
938	27209	1767
939	27236	1738
940	27260	1709
941	27287	1680
942	27310	1650
943	27338	1621
944	27361	1592
945	27391	1563
946	27421	1534
947	27451	1505
948	27474	1476
949	27503	1447
950	27529	1418
951	27555	1389
952	27587	1360
953	27615	1331
954	27635	1302
955	27657	1272
956	27685	1243
957	27712	1214
958	27744	1186
959	27768	1157
960	27800	1128
961	27827	1099
962	27854	1070
963	27880	1041
964	27902	1011
965	27936	983
966	27965	954
967	27995	925
968	28017	896
969	28046	867
970	28072	838
971	28100	809
972	28130	780
973	28157	751
974	28184	722
975	28207	693
976	28228	664
977	28258	635
978	28292	606
979	28317	577
980	28341	548
981	28373	520
982	28405	491
983	28426	462
984	28458	433
985	28487	404
986	28511	375
987	28537	346
988	28556	317
989	28579	288
990	28601	259
991	28624	230
992	28658	202
993	28682	173
994	28708	144
995	28736	115
996	28757	86
997	28787	57
998	28813	28
999	28842	0
